longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_house_value,rooms_per_house,bedrooms_ratio,people_per_house,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
-118.21,33.88,31.0,1332.0,417.0,1405.0,363.0,143000.0,3.669421487603306,0.3130630630630631,3.8705234159779613,0.0,1.0,0.0,0.0,0.0
-117.95,33.99,25.0,1075.0,138.0,451.0,132.0,332200.0,8.143939393939394,0.1283720930232558,3.4166666666666665,0.0,1.0,0.0,0.0,0.0
-116.94,32.82,35.0,1737.0,285.0,826.0,294.0,159200.0,5.908163265306122,0.16407599309153714,2.8095238095238093,0.0,0.0,0.0,0.0,1.0
-118.15,34.16,38.0,2471.0,529.0,1661.0,441.0,146600.0,5.603174603174603,0.21408336705787132,3.766439909297052,0.0,1.0,0.0,0.0,0.0
-121.4,38.47,4.0,20982.0,3392.0,10329.0,3086.0,130600.0,6.799092676604018,0.1616623772757602,3.347051198963059,0.0,0.0,0.0,0.0,1.0
-122.26,37.56,23.0,7283.0,1342.0,3399.0,1298.0,391000.0,5.610939907550077,0.18426472607441988,2.6186440677966103,0.0,1.0,0.0,0.0,0.0
-118.47,34.25,21.0,2692.0,477.0,1330.0,456.0,238900.0,5.9035087719298245,0.17719167904903418,2.9166666666666665,1.0,0.0,0.0,0.0,0.0
-121.8,37.31,21.0,2630.0,446.0,1789.0,389.0,232000.0,6.760925449871466,0.16958174904942966,4.598971722365039,1.0,0.0,0.0,0.0,0.0
-118.05,34.08,25.0,4909.0,1422.0,4983.0,1293.0,143500.0,3.7965970610982214,0.2896720309635364,3.8538283062645013,1.0,0.0,0.0,0.0,0.0
-122.12,37.68,35.0,1958.0,484.0,1146.0,448.0,148900.0,4.370535714285714,0.24719101123595505,2.5580357142857144,0.0,0.0,0.0,1.0,0.0
-119.04,35.37,44.0,1618.0,310.0,667.0,300.0,82700.0,5.3933333333333335,0.1915945611866502,2.223333333333333,1.0,0.0,0.0,0.0,0.0
-117.49,34.02,21.0,3736.0,738.0,2021.0,640.0,142400.0,5.8375,0.1975374732334047,3.1578125,0.0,1.0,0.0,0.0,0.0
-121.4,36.84,40.0,2352.0,536.0,1430.0,535.0,155300.0,4.396261682242991,0.22789115646258504,2.6728971962616823,1.0,0.0,0.0,0.0,0.0
-121.79,36.64,11.0,32627.0,6445.0,28566.0,6082.0,118800.0,5.364518250575468,0.19753578324700402,4.696810259782966,0.0,1.0,0.0,0.0,0.0
-122.06,37.73,5.0,3596.0,467.0,1738.0,512.0,412500.0,7.0234375,0.12986651835372637,3.39453125,0.0,1.0,0.0,0.0,0.0
-118.32,33.95,43.0,3819.0,708.0,1505.0,712.0,183500.0,5.36376404494382,0.18538884524744698,2.1137640449438204,0.0,1.0,0.0,0.0,0.0
-117.86,34.08,31.0,2524.0,349.0,1003.0,343.0,380900.0,7.358600583090379,0.13827258320126784,2.924198250728863,0.0,0.0,0.0,0.0,1.0
-122.29,40.39,17.0,1682.0,332.0,887.0,316.0,76400.0,5.322784810126582,0.19738406658739596,2.8069620253164556,,,,,
-117.27,33.03,19.0,2899.0,499.0,1356.0,512.0,220900.0,5.662109375,0.1721283201103829,2.6484375,0.0,0.0,0.0,1.0,0.0
-120.62,35.11,18.0,2241.0,544.0,1521.0,509.0,155800.0,4.402750491159136,0.2427487728692548,2.988212180746562,1.0,0.0,0.0,0.0,0.0
-116.95,32.82,19.0,5308.0,1058.0,2852.0,1092.0,135700.0,4.86080586080586,0.19932177844762622,2.6117216117216118,1.0,0.0,0.0,0.0,0.0
-120.46,39.83,18.0,3406.0,673.0,1567.0,617.0,75900.0,5.520259319286872,0.19759248385202582,2.539708265802269,0.0,1.0,0.0,0.0,0.0
-117.04,34.89,37.0,1884.0,366.0,1052.0,353.0,66800.0,5.337110481586402,0.1942675159235669,2.9801699716713883,1.0,0.0,0.0,0.0,0.0
-122.25,37.47,38.0,645.0,124.0,265.0,103.0,305000.0,6.262135922330097,0.19224806201550387,2.5728155339805827,0.0,1.0,0.0,0.0,0.0
-122.04,38.28,25.0,3304.0,493.0,1464.0,488.0,130600.0,6.770491803278689,0.1492130750605327,3.0,1.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
-118.17,33.88,29.0,815.0,206.0,590.0,183.0,166700.0,4.453551912568306,0.252760736196319,3.2240437158469946,1.0,0.0,0.0,0.0,0.0
-120.94,37.4,32.0,1175.0,208.0,774.0,222.0,109400.0,5.292792792792793,0.17702127659574468,3.4864864864864864,0.0,1.0,0.0,0.0,0.0
-121.92,37.28,26.0,6201.0,783.0,2381.0,819.0,397000.0,7.571428571428571,0.1262699564586357,2.907203907203907,0.0,0.0,0.0,0.0,1.0
-122.31,40.89,18.0,754.0,161.0,247.0,107.0,78800.0,7.046728971962617,0.21352785145888595,2.308411214953271,1.0,0.0,0.0,0.0,0.0
-122.4,37.72,47.0,1465.0,306.0,1119.0,315.0,219400.0,4.650793650793651,0.20887372013651878,3.552380952380952,1.0,0.0,0.0,0.0,0.0
-117.27,33.18,4.0,3371.0,773.0,1481.0,627.0,215700.0,5.376395534290271,0.22930881044200535,2.3620414673046253,0.0,1.0,0.0,0.0,0.0
-117.06,32.6,33.0,905.0,205.0,989.0,222.0,108200.0,4.076576576576577,0.2265193370165746,4.454954954954955,1.0,0.0,0.0,0.0,0.0
-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,226700.0,4.294117647058823,0.2602739726027397,2.026890756302521,0.0,0.0,0.0,1.0,0.0
-117.34,33.15,19.0,5710.0,1423.0,4163.0,1406.0,178500.0,4.061166429587482,0.24921190893169878,2.960881934566145,0.0,0.0,0.0,0.0,1.0
-118.29,34.07,19.0,3013.0,1118.0,2465.0,1008.0,290600.0,2.9890873015873014,0.3710587454364421,2.445436507936508,1.0,0.0,0.0,0.0,0.0
-120.81,38.73,38.0,2005.0,385.0,882.0,353.0,120500.0,5.6798866855524075,0.19201995012468828,2.498583569405099,1.0,0.0,0.0,0.0,0.0
-124.16,41.92,19.0,1668.0,324.0,841.0,283.0,75000.0,5.893992932862191,0.19424460431654678,2.9717314487632507,1.0,0.0,0.0,0.0,0.0
-117.25,32.8,37.0,1096.0,260.0,490.0,267.0,270600.0,4.104868913857678,0.23722627737226276,1.8352059925093633,0.0,1.0,0.0,0.0,0.0
-122.06,37.32,30.0,3033.0,540.0,1440.0,507.0,380800.0,5.982248520710059,0.17804154302670624,2.8402366863905324,1.0,0.0,0.0,0.0,0.0
-117.05,33.03,16.0,87.0,20.0,32.0,21.0,144600.0,4.142857142857143,0.22988505747126436,1.5238095238095237,1.0,0.0,0.0,0.0,0.0
-117.24,34.13,24.0,1203.0,310.0,594.0,187.0,87500.0,6.433155080213904,0.257689110556941,3.176470588235294,0.0,1.0,0.0,0.0,0.0
-119.08,36.21,20.0,1911.0,389.0,1241.0,348.0,59300.0,5.491379310344827,0.20355834641548928,3.5660919540229883,0.0,0.0,0.0,0.0,1.0
-121.7,38.54,13.0,6819.0,1158.0,2828.0,1115.0,226500.0,6.115695067264574,0.16981962164540254,2.536322869955157,,,,,
-121.84,39.74,43.0,2976.0,599.0,1181.0,560.0,85100.0,5.314285714285714,0.2012768817204301,2.1089285714285713,0.0,0.0,0.0,0.0,1.0
-118.4,33.9,38.0,2868.0,466.0,1098.0,438.0,477100.0,6.5479452054794525,0.16248256624825663,2.506849315068493,0.0,1.0,0.0,0.0,0.0
-119.29,36.34,10.0,1832.0,455.0,1664.0,429.0,53300.0,4.270396270396271,0.24836244541484717,3.878787878787879,1.0,0.0,0.0,0.0,0.0
-121.5,39.83,15.0,1896.0,408.0,893.0,334.0,87500.0,5.676646706586826,0.21518987341772153,2.6736526946107784,1.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0
-118.27,33.95,29.0,1579.0,351.0,1056.0,322.0,98500.0,4.903726708074534,0.22229259024699177,3.279503105590062,0.0,1.0,0.0,0.0,0.0
-118.13,34.02,36.0,984.0,275.0,1024.0,284.0,153500.0,3.464788732394366,0.27947154471544716,3.6056338028169015,0.0,0.0,0.0,1.0,0.0
-118.39,34.09,27.0,4312.0,1214.0,1634.0,1097.0,362500.0,3.9307201458523244,0.2815398886827458,1.4895168641750227,,,,,
-118.19,34.04,43.0,1682.0,422.0,1706.0,409.0,153300.0,4.112469437652812,0.25089179548156954,4.1711491442542785,,,,,
-118.35,33.97,25.0,1864.0,616.0,1710.0,575.0,159400.0,3.2417391304347825,0.33047210300429186,2.973913043478261,0.0,0.0,0.0,0.0,1.0
-121.78,36.93,21.0,2794.0,662.0,2236.0,565.0,178400.0,4.945132743362832,0.23693629205440228,3.9575221238938054,1.0,0.0,0.0,0.0,0.0
-118.17,34.04,46.0,705.0,167.0,655.0,149.0,141100.0,4.731543624161074,0.23687943262411348,4.395973154362416,0.0,1.0,0.0,0.0,0.0
-117.24,33.11,10.0,3487.0,545.0,1410.0,557.0,240300.0,6.26032315978456,0.1562948092916547,2.5314183123877916,0.0,1.0,0.0,0.0,0.0
-118.06,33.9,37.0,1161.0,254.0,882.0,236.0,158000.0,4.919491525423729,0.21877691645133507,3.73728813559322,0.0,0.0,0.0,0.0,1.0
-121.79,37.33,13.0,2978.0,505.0,1794.0,485.0,277800.0,6.140206185567011,0.16957689724647415,3.6989690721649486,0.0,1.0,0.0,0.0,0.0
-122.09,38.0,6.0,10191.0,1882.0,4377.0,1789.0,204200.0,5.69647847959754,0.18467275046609755,2.446618222470654,1.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0
-117.85,34.12,30.0,4367.0,1033.0,2524.0,954.0,192100.0,4.577568134171908,0.2365468284863751,2.6457023060796647,1.0,0.0,0.0,0.0,0.0
-116.98,32.71,18.0,2355.0,444.0,1277.0,433.0,121400.0,5.438799076212471,0.18853503184713377,2.9491916859122402,1.0,0.0,0.0,0.0,0.0
-118.14,33.79,23.0,2573.0,688.0,1478.0,604.0,209400.0,4.259933774834437,0.2673921492421298,2.447019867549669,1.0,0.0,0.0,0.0,0.0
-117.09,32.75,30.0,1899.0,546.0,1620.0,493.0,84400.0,3.8519269776876266,0.28751974723538704,3.286004056795132,0.0,0.0,0.0,1.0,0.0
-117.85,33.79,40.0,1251.0,336.0,729.0,343.0,236400.0,3.6472303206997085,0.2685851318944844,2.1253644314868803,0.0,0.0,0.0,1.0,0.0
-121.84,37.28,18.0,2749.0,633.0,1779.0,561.0,166100.0,4.90017825311943,0.23026555110949437,3.171122994652406,0.0,0.0,0.0,0.0,1.0
-117.98,33.76,29.0,1518.0,312.0,1086.0,317.0,196900.0,4.788643533123029,0.20553359683794467,3.4258675078864353,0.0,1.0,0.0,0.0,0.0
-118.62,34.21,26.0,3234.0,517.0,1597.0,513.0,258600.0,6.304093567251462,0.1598639455782313,3.1130604288499026,0.0,1.0,0.0,0.0,0.0
-123.23,39.33,20.0,804.0,121.0,448.0,140.0,147100.0,5.742857142857143,0.15049751243781095,3.2,0.0,0.0,0.0,1.0,0.0
-121.8,38.01,46.0,2273.0,495.0,1088.0,447.0,109400.0,5.085011185682327,0.21777386713594368,2.4340044742729305,1.0,0.0,0.0,0.0,0.0
-123.22,40.54,27.0,1573.0,361.0,847.0,330.0,49600.0,4.766666666666667,0.2294977749523204,2.566666666666667,1.0,0.0,0.0,0.0,0.0
-121.27,38.66,15.0,2642.0,520.0,1032.0,475.0,189800.0,5.562105263157894,0.1968205904617714,2.1726315789473682,0.0,1.0,0.0,0.0,0.0
-117.91,33.94,15.0,5799.0,842.0,2314.0,787.0,350500.0,7.36848792884371,0.14519744783583377,2.940279542566709,1.0,0.0,0.0,0.0,0.0
-117.95,33.85,13.0,6963.0,1426.0,3892.0,1375.0,203500.0,5.064,0.20479678299583512,2.8305454545454545,0.0,1.0,0.0,0.0,0.0
-117.96,33.98,25.0,1259.0,184.0,599.0,170.0,302200.0,7.405882352941177,0.14614773629864972,3.523529411764706,1.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
-121.27,38.66,19.0,1891.0,266.0,678.0,255.0,188700.0,7.415686274509804,0.1406663141195135,2.6588235294117646,0.0,1.0,0.0,0.0,0.0
-116.95,32.78,20.0,3425.0,448.0,1489.0,443.0,296400.0,7.7313769751693,0.1308029197080292,3.36117381489842,0.0,1.0,0.0,0.0,0.0
-122.22,38.12,15.0,14125.0,2344.0,6456.0,2147.0,179500.0,6.578947368421052,0.16594690265486725,3.0069864927806242,1.0,0.0,0.0,0.0,0.0
-117.88,33.74,19.0,2261.0,642.0,3545.0,635.0,148500.0,3.5606299212598427,0.2839451570101725,5.582677165354331,0.0,0.0,0.0,1.0,0.0
-117.29,33.18,17.0,821.0,176.0,436.0,168.0,160600.0,4.886904761904762,0.2143727161997564,2.5952380952380953,0.0,0.0,0.0,0.0,1.0
-118.36,34.14,30.0,1376.0,317.0,629.0,320.0,295200.0,4.3,0.23037790697674418,1.965625,0.0,1.0,0.0,0.0,0.0
-118.55,34.2,21.0,2549.0,651.0,1624.0,628.0,179800.0,4.058917197452229,0.2553942722636328,2.5859872611464967,1.0,0.0,0.0,0.0,0.0
-118.28,33.99,46.0,1211.0,321.0,1153.0,282.0,99300.0,4.294326241134752,0.26507018992568127,4.088652482269503,1.0,0.0,0.0,0.0,0.0
-121.93,37.32,50.0,1135.0,215.0,500.0,207.0,211300.0,5.483091787439614,0.1894273127753304,2.4154589371980677,,,,,
-119.81,36.74,36.0,607.0,155.0,483.0,146.0,47500.0,4.157534246575342,0.2553542009884679,3.308219178082192,0.0,0.0,0.0,0.0,1.0
,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0
-122.08,37.4,19.0,3565.0,858.0,1639.0,744.0,277000.0,4.791666666666667,0.24067321178120618,2.202956989247312,0.0,0.0,0.0,0.0,1.0
-121.98,37.97,26.0,2738.0,428.0,1316.0,430.0,213200.0,6.367441860465116,0.15631848064280496,3.0604651162790697,1.0,0.0,0.0,0.0,0.0
-122.23,40.15,14.0,2297.0,573.0,1637.0,551.0,51600.0,4.168784029038113,0.24945581192860253,2.970961887477314,0.0,1.0,0.0,0.0,0.0
-118.17,34.09,45.0,1327.0,271.0,1069.0,284.0,153800.0,4.672535211267606,0.20422004521477016,3.7640845070422535,0.0,1.0,0.0,0.0,0.0
-121.85,37.26,16.0,2312.0,303.0,1158.0,295.0,311800.0,7.83728813559322,0.13105536332179932,3.925423728813559,0.0,1.0,0.0,0.0,0.0
-116.95,33.78,24.0,3409.0,804.0,1939.0,739.0,74000.0,4.612990527740189,0.23584628923437959,2.6238159675236807,0.0,1.0,0.0,0.0,0.0
-122.34,37.57,39.0,2647.0,616.0,1254.0,555.0,433800.0,4.769369369369369,0.2327162825840574,2.2594594594594595,0.0,0.0,0.0,0.0,1.0
-121.18,38.75,16.0,2807.0,459.0,1201.0,429.0,247600.0,6.543123543123543,0.16351977199857498,2.7995337995337994,,,,,
-120.5,37.3,29.0,1572.0,456.0,1697.0,429.0,63200.0,3.664335664335664,0.2900763358778626,3.9557109557109555,0.0,1.0,0.0,0.0,0.0
-122.53,41.81,21.0,2400.0,485.0,1109.0,443.0,55400.0,5.417607223476298,0.20208333333333334,2.5033860045146725,0.0,0.0,0.0,1.0,0.0
,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0
-117.44,33.95,31.0,914.0,177.0,556.0,161.0,115300.0,5.6770186335403725,0.1936542669584245,3.453416149068323,0.0,1.0,0.0,0.0,0.0
-119.38,36.55,31.0,2342.0,439.0,1411.0,465.0,72000.0,5.036559139784946,0.1874466268146883,3.0344086021505374,0.0,1.0,0.0,0.0,0.0
-122.57,38.03,24.0,2330.0,322.0,911.0,320.0,387700.0,7.28125,0.13819742489270387,2.846875,0.0,1.0,0.0,0.0,0.0
-118.42,34.0,14.0,3771.0,1180.0,2355.0,978.0,287500.0,3.855828220858896,0.31291434632723414,2.4079754601226995,0.0,1.0,0.0,0.0,0.0
-119.25,35.78,35.0,1927.0,386.0,1371.0,414.0,69900.0,4.654589371980676,0.20031136481577583,3.3115942028985508,0.0,1.0,0.0,0.0,0.0
,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
-118.33,34.01,47.0,1320.0,259.0,653.0,291.0,193000.0,4.536082474226804,0.1962121212121212,2.2439862542955327,0.0,0.0,0.0,1.0,0.0
-117.2,33.83,14.0,1265.0,230.0,621.0,173.0,161300.0,7.312138728323699,0.18181818181818182,3.5895953757225434,1.0,0.0,0.0,0.0,0.0
-119.28,36.33,10.0,1051.0,297.0,927.0,274.0,55500.0,3.835766423357664,0.2825880114176974,3.383211678832117,,,,,
-120.45,34.88,15.0,2143.0,286.0,929.0,315.0,269700.0,6.803174603174603,0.13345776948203453,2.9492063492063494,0.0,1.0,0.0,0.0,0.0
