longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_house_value,rooms_per_house,bedrooms_ratio,people_per_house,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
-119.03,34.23,16.0,5323.0,795.0,2493.0,779.0,271300.0,6.833119383825418,0.1493518692466654,3.2002567394094994,1.0,0.0,0.0,0.0,0.0
-118.02,34.14,34.0,1077.0,257.0,478.0,199.0,252800.0,5.4120603015075375,0.23862581244196843,2.4020100502512562,0.0,1.0,0.0,0.0,0.0
-117.85,33.76,33.0,1866.0,327.0,1053.0,371.0,213800.0,5.0296495956873315,0.1752411575562701,2.838274932614555,1.0,0.0,0.0,0.0,0.0
-117.93,33.87,45.0,1006.0,230.0,1237.0,237.0,168000.0,4.244725738396625,0.2286282306163022,5.219409282700422,,,,,
-121.86,38.0,4.0,4075.0,927.0,2239.0,849.0,165200.0,4.799764428739694,0.22748466257668712,2.6372202591283864,,,,,
-119.79,36.78,41.0,2227.0,462.0,1129.0,415.0,59100.0,5.366265060240964,0.2074539739559946,2.720481927710843,1.0,0.0,0.0,0.0,0.0
-122.35,37.58,26.0,854.0,246.0,396.0,231.0,375000.0,3.696969696969697,0.28805620608899296,1.7142857142857142,0.0,1.0,0.0,0.0,0.0
,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
-122.36,38.41,18.0,1808.0,400.0,968.0,370.0,175000.0,4.886486486486486,0.22123893805309736,2.616216216216216,0.0,1.0,0.0,0.0,0.0
-121.8,37.35,17.0,2529.0,423.0,1756.0,429.0,240700.0,5.895104895104895,0.16725978647686832,4.093240093240094,,,,,
-117.72,33.63,15.0,1362.0,255.0,378.0,202.0,162500.0,6.742574257425742,0.18722466960352424,1.8712871287128714,0.0,1.0,0.0,0.0,0.0
-120.97,37.69,14.0,5514.0,909.0,2819.0,970.0,174400.0,5.684536082474227,0.1648531011969532,2.906185567010309,0.0,1.0,0.0,0.0,0.0
-121.54,39.6,15.0,886.0,204.0,576.0,205.0,84100.0,4.321951219512195,0.23024830699774265,2.8097560975609754,0.0,0.0,0.0,1.0,0.0
-121.36,38.15,42.0,2051.0,334.0,878.0,318.0,185700.0,6.449685534591195,0.16284739151633348,2.761006289308176,1.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
-121.8,39.33,30.0,1019.0,192.0,501.0,185.0,81300.0,5.508108108108108,0.18842001962708538,2.708108108108108,0.0,1.0,0.0,0.0,0.0
,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0
-122.33,37.53,18.0,4493.0,760.0,1784.0,725.0,413000.0,6.197241379310345,0.16915201424438014,2.460689655172414,1.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
-117.67,33.67,5.0,10534.0,2035.0,4656.0,1863.0,309200.0,5.654320987654321,0.19318397569774065,2.499194847020934,0.0,0.0,0.0,1.0,0.0
-122.41,37.71,49.0,1852.0,429.0,1615.0,447.0,217800.0,4.143176733780761,0.2316414686825054,3.6129753914988814,0.0,1.0,0.0,0.0,0.0
