longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_house_value,rooms_per_house,bedrooms_ratio,people_per_house,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
-122.09,37.68,29.0,2333.0,538.0,1120.0,540.0,205600.0,4.32037037037037,0.23060437205315046,2.074074074074074,0.0,0.0,0.0,1.0,0.0
-122.22,38.1,44.0,2256.0,451.0,1057.0,426.0,110800.0,5.295774647887324,0.1999113475177305,2.4812206572769955,0.0,1.0,0.0,0.0,0.0
-119.69,36.86,20.0,1676.0,263.0,786.0,240.0,164600.0,6.983333333333333,0.15692124105011934,3.275,1.0,0.0,0.0,0.0,0.0
-117.75,34.12,25.0,5411.0,998.0,2243.0,1019.0,240700.0,5.310107948969578,0.18443910552578083,2.201177625122669,0.0,0.0,0.0,0.0,1.0
-121.48,38.52,36.0,1824.0,357.0,906.0,356.0,96400.0,5.123595505617978,0.19572368421052633,2.544943820224719,,,,,
-121.35,38.7,5.0,14414.0,2979.0,7608.0,2832.0,129600.0,5.089689265536723,0.20667406687942277,2.6864406779661016,1.0,0.0,0.0,0.0,0.0
-121.89,38.01,32.0,1000.0,188.0,663.0,212.0,99200.0,4.716981132075472,0.188,3.1273584905660377,1.0,0.0,0.0,0.0,0.0
-119.19,34.25,12.0,232.0,37.0,79.0,35.0,214600.0,6.628571428571429,0.15948275862068967,2.257142857142857,1.0,0.0,0.0,0.0,0.0
-119.02,35.36,47.0,1631.0,340.0,847.0,315.0,73700.0,5.177777777777778,0.20846106683016555,2.688888888888889,0.0,0.0,0.0,0.0,1.0
-122.7,38.39,16.0,4922.0,1211.0,2557.0,1088.0,168100.0,4.523897058823529,0.24603819585534337,2.3501838235294117,0.0,1.0,0.0,0.0,0.0
-121.28,38.68,16.0,3467.0,615.0,1478.0,601.0,147300.0,5.768718801996672,0.17738678973175656,2.459234608985025,1.0,0.0,0.0,0.0,0.0
-117.89,33.98,5.0,3088.0,711.0,1415.0,641.0,184500.0,4.817472698907956,0.23024611398963732,2.207488299531981,1.0,0.0,0.0,0.0,0.0
-122.12,37.82,26.0,2269.0,317.0,918.0,313.0,364500.0,7.2492012779552715,0.1397091229616571,2.9329073482428116,0.0,0.0,0.0,0.0,1.0
-117.44,33.9,23.0,4487.0,754.0,2609.0,778.0,148700.0,5.767352185089974,0.16804100735457989,3.353470437017995,0.0,1.0,0.0,0.0,0.0
-120.55,38.31,18.0,1411.0,312.0,592.0,230.0,94700.0,6.1347826086956525,0.221119773210489,2.5739130434782607,0.0,1.0,0.0,0.0,0.0
-117.01,32.78,20.0,2616.0,597.0,1532.0,579.0,235600.0,4.518134715025907,0.22821100917431192,2.64594127806563,1.0,0.0,0.0,0.0,0.0
-118.11,33.87,15.0,3254.0,598.0,1772.0,618.0,240800.0,5.26537216828479,0.18377381684081132,2.867313915857605,1.0,0.0,0.0,0.0,0.0
-122.01,38.36,15.0,476.0,67.0,213.0,73.0,315200.0,6.52054794520548,0.1407563025210084,2.9178082191780823,,,,,
-118.36,33.97,18.0,1284.0,283.0,990.0,289.0,195800.0,4.442906574394463,0.220404984423676,3.42560553633218,0.0,0.0,0.0,1.0,0.0
-118.09,33.74,44.0,1671.0,390.0,871.0,367.0,422200.0,4.553133514986376,0.2333931777378815,2.3732970027247955,0.0,1.0,0.0,0.0,0.0
-122.34,37.97,19.0,2237.0,580.0,1438.0,551.0,120700.0,4.05989110707804,0.25927581582476533,2.6098003629764066,0.0,1.0,0.0,0.0,0.0
-118.42,34.18,40.0,1013.0,150.0,449.0,166.0,382400.0,6.102409638554217,0.14807502467917077,2.7048192771084336,,,,,
-117.86,33.78,25.0,2635.0,660.0,1710.0,634.0,215000.0,4.15615141955836,0.2504743833017078,2.697160883280757,1.0,0.0,0.0,0.0,0.0
-118.46,34.01,43.0,513.0,98.0,266.0,103.0,343100.0,4.980582524271845,0.19103313840155944,2.5825242718446604,0.0,1.0,0.0,0.0,0.0
-119.46,36.91,12.0,2980.0,495.0,1184.0,429.0,123900.0,6.946386946386946,0.16610738255033558,2.7599067599067597,0.0,0.0,0.0,1.0,0.0
-119.17,34.25,15.0,1329.0,282.0,1001.0,284.0,189300.0,4.679577464788732,0.21218961625282168,3.5246478873239435,0.0,1.0,0.0,0.0,0.0
-117.95,33.82,35.0,1117.0,181.0,496.0,168.0,224700.0,6.648809523809524,0.162041181736795,2.9523809523809526,0.0,1.0,0.0,0.0,0.0
-122.29,37.92,35.0,583.0,88.0,235.0,84.0,288200.0,6.940476190476191,0.1509433962264151,2.7976190476190474,1.0,0.0,0.0,0.0,0.0
-121.89,37.21,14.0,5636.0,697.0,2281.0,680.0,459200.0,8.288235294117648,0.12366926898509581,3.3544117647058824,0.0,1.0,0.0,0.0,0.0
-122.19,37.77,42.0,932.0,254.0,900.0,263.0,92300.0,3.543726235741445,0.27253218884120173,3.4220532319391634,0.0,1.0,0.0,0.0,0.0
-121.38,38.61,34.0,2888.0,496.0,1168.0,479.0,148600.0,6.029227557411273,0.17174515235457063,2.4384133611691023,0.0,0.0,0.0,1.0,0.0
-117.95,33.87,35.0,1854.0,383.0,1115.0,381.0,185200.0,4.866141732283465,0.20658036677454153,2.926509186351706,,,,,
-121.74,36.47,28.0,1973.0,343.0,970.0,349.0,279100.0,5.653295128939828,0.17384693360364928,2.7793696275071635,1.0,0.0,0.0,0.0,0.0
-118.37,33.9,35.0,1651.0,269.0,707.0,252.0,294800.0,6.551587301587301,0.16293155663234404,2.8055555555555554,1.0,0.0,0.0,0.0,0.0
-118.33,34.02,11.0,1249.0,313.0,625.0,336.0,170500.0,3.7172619047619047,0.25060048038430743,1.8601190476190477,1.0,0.0,0.0,0.0,0.0
-121.78,38.69,31.0,2547.0,535.0,1579.0,509.0,95800.0,5.00392927308448,0.21005104043973302,3.1021611001964637,,,,,
-118.42,33.99,38.0,740.0,171.0,599.0,194.0,248900.0,3.814432989690722,0.23108108108108108,3.0876288659793816,0.0,1.0,0.0,0.0,0.0
-118.47,34.04,21.0,5041.0,1491.0,2719.0,1420.0,268800.0,3.55,0.29577464788732394,1.9147887323943662,0.0,0.0,0.0,0.0,1.0
-118.16,34.03,45.0,894.0,231.0,925.0,222.0,145000.0,4.027027027027027,0.25838926174496646,4.166666666666667,0.0,1.0,0.0,0.0,0.0
-121.96,37.84,29.0,7479.0,977.0,2744.0,943.0,398200.0,7.931071049840933,0.13063243749164327,2.9098621420996817,1.0,0.0,0.0,0.0,0.0
-118.59,34.14,19.0,1303.0,155.0,450.0,145.0,483100.0,8.986206896551725,0.11895625479662318,3.103448275862069,0.0,1.0,0.0,0.0,0.0
-119.72,36.82,16.0,2627.0,613.0,1054.0,623.0,112500.0,4.21669341894061,0.23334602207841645,1.6918138041733548,0.0,0.0,0.0,1.0,0.0
-118.33,34.1,48.0,1116.0,524.0,1610.0,483.0,237500.0,2.31055900621118,0.46953405017921146,3.3333333333333335,0.0,1.0,0.0,0.0,0.0
-118.34,34.18,45.0,3566.0,701.0,1601.0,653.0,232000.0,5.460949464012251,0.196578799775659,2.451761102603369,1.0,0.0,0.0,0.0,0.0
-116.71,33.75,25.0,10665.0,2161.0,1874.0,852.0,150500.0,12.517605633802816,0.20262541022034694,2.199530516431925,1.0,0.0,0.0,0.0,0.0
-119.56,36.53,19.0,2746.0,495.0,1670.0,518.0,95700.0,5.301158301158301,0.18026219956300074,3.223938223938224,1.0,0.0,0.0,0.0,0.0
-120.31,37.64,11.0,2403.0,497.0,890.0,344.0,120800.0,6.9854651162790695,0.2068248023304203,2.5872093023255816,1.0,0.0,0.0,0.0,0.0
-118.14,34.18,47.0,3457.0,622.0,1700.0,579.0,226500.0,5.970639032815199,0.1799247902805901,2.936096718480138,1.0,0.0,0.0,0.0,0.0
-118.39,34.0,40.0,1565.0,269.0,826.0,268.0,485700.0,5.83955223880597,0.1718849840255591,3.082089552238806,1.0,0.0,0.0,0.0,0.0
-119.05,34.24,24.0,4341.0,646.0,1929.0,703.0,279600.0,6.174964438122333,0.14881363741073486,2.743954480796586,0.0,1.0,0.0,0.0,0.0
-122.2,37.79,35.0,1802.0,459.0,1009.0,390.0,126000.0,4.62051282051282,0.25471698113207547,2.5871794871794873,,,,,
-118.27,34.07,32.0,1657.0,579.0,2071.0,598.0,152500.0,2.770903010033445,0.3494266747133374,3.463210702341137,0.0,0.0,0.0,1.0,0.0
,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0
-120.0,38.93,17.0,8005.0,1382.0,999.0,383.0,313400.0,20.900783289817234,0.1726420986883198,2.608355091383812,1.0,0.0,0.0,0.0,0.0
-121.72,36.81,18.0,1984.0,379.0,1078.0,359.0,229900.0,5.5264623955431755,0.19102822580645162,3.002785515320334,0.0,1.0,0.0,0.0,0.0
-118.1,33.86,21.0,3052.0,624.0,1588.0,568.0,268100.0,5.373239436619718,0.20445609436435125,2.795774647887324,0.0,0.0,0.0,1.0,0.0
